Generated by http://opendatacommunities.org,2025-01-02T20:18:05+00:00
http://opendatacommunities.org/data/societal-wellbeing/imd/indicesbyla,English Indices of Deprivation 2015 - Summaries at Local Authority Level
Indices of Deprivation,a. Index of Multiple Deprivation (IMD)
measure type,Average Score
Measure (cell values): ,Average Score

,,http://reference.data.gov.uk/id/year/2015
http://opendatacommunities.org/id/geography/administration/nmd/E07000080,Forest of Dean,16.991
http://opendatacommunities.org/id/geography/administration/nmd/E07000119,Fylde,14.375
http://opendatacommunities.org/id/geography/administration/md/E08000037,Gateshead,25.932
http://opendatacommunities.org/id/geography/administration/nmd/E07000173,Gedling,15.272
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,Gloucester,21.999
http://opendatacommunities.org/id/geography/administration/nmd/E07000088,Gosport,20.613
http://opendatacommunities.org/id/geography/administration/nmd/E07000109,Gravesham,21.684
http://opendatacommunities.org/id/geography/administration/nmd/E07000145,Great Yarmouth,32.369
http://opendatacommunities.org/id/geography/administration/lonb/E09000011,Greenwich,25.544
http://opendatacommunities.org/id/geography/administration/nmd/E07000209,Guildford,9.392
http://opendatacommunities.org/id/geography/administration/lonb/E09000012,Hackney,35.28
http://opendatacommunities.org/id/geography/administration/nmd/E07000164,Hambleton,12.67
http://opendatacommunities.org/id/geography/administration/lonb/E09000013,Hammersmith and Fulham,24.362
http://opendatacommunities.org/id/geography/administration/nmd/E07000131,Harborough,8.324
http://opendatacommunities.org/id/geography/administration/lonb/E09000014,Haringey,31.043
http://opendatacommunities.org/id/geography/administration/nmd/E07000073,Harlow,23.558
http://opendatacommunities.org/id/geography/administration/nmd/E07000165,Harrogate,10.373
http://opendatacommunities.org/id/geography/administration/lonb/E09000015,Harrow,14.302
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,Hart,5.009
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,Hastings,33.114
http://opendatacommunities.org/id/geography/administration/nmd/E07000090,Havant,21.166
http://opendatacommunities.org/id/geography/administration/lonb/E09000016,Havering,17.876
http://opendatacommunities.org/id/geography/administration/nmd/E07000098,Hertsmere,12.913
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,High Peak,16.091
http://opendatacommunities.org/id/geography/administration/lonb/E09000017,Hillingdon,18.108
http://opendatacommunities.org/id/geography/administration/nmd/E07000132,Hinckley and Bosworth,12.782
http://opendatacommunities.org/id/geography/administration/nmd/E07000227,Horsham,9.765
http://opendatacommunities.org/id/geography/administration/lonb/E09000018,Hounslow,22.469
http://opendatacommunities.org/id/geography/administration/nmd/E07000011,Huntingdonshire,11.791
http://opendatacommunities.org/id/geography/administration/nmd/E07000120,Hyndburn,32.102
http://opendatacommunities.org/id/geography/administration/nmd/E07000202,Ipswich,26.093
http://opendatacommunities.org/id/geography/administration/lonb/E09000019,Islington,32.534
http://opendatacommunities.org/id/geography/administration/lonb/E09000020,Kensington and Chelsea,23.376
http://opendatacommunities.org/id/geography/administration/nmd/E07000153,Kettering,18.927
http://opendatacommunities.org/id/geography/administration/nmd/E07000146,King's Lynn and West Norfolk,23.403
http://opendatacommunities.org/id/geography/administration/lonb/E09000021,Kingston upon Thames,11.125
http://opendatacommunities.org/id/geography/administration/md/E08000034,Kirklees,23.964
http://opendatacommunities.org/id/geography/administration/md/E08000011,Knowsley,41.387
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,Lambeth,28.913
http://opendatacommunities.org/id/geography/administration/nmd/E07000121,Lancaster,23.321
http://opendatacommunities.org/id/geography/administration/md/E08000035,Leeds,26.623
http://opendatacommunities.org/id/geography/administration/nmd/E07000063,Lewes,15.074
http://opendatacommunities.org/id/geography/administration/lonb/E09000023,Lewisham,28.591
http://opendatacommunities.org/id/geography/administration/nmd/E07000194,Lichfield,12.709
http://opendatacommunities.org/id/geography/administration/nmd/E07000138,Lincoln,28.924
http://opendatacommunities.org/id/geography/administration/md/E08000012,Liverpool,41.126
http://opendatacommunities.org/id/geography/administration/nmd/E07000110,Maidstone,15.56
http://opendatacommunities.org/id/geography/administration/nmd/E07000074,Maldon,14.506
http://opendatacommunities.org/id/geography/administration/nmd/E07000235,Malvern Hills,16.067
http://opendatacommunities.org/id/geography/administration/md/E08000003,Manchester,40.512
http://opendatacommunities.org/id/geography/administration/nmd/E07000174,Mansfield,27.764
http://opendatacommunities.org/id/geography/administration/nmd/E07000133,Melton,13.119
http://opendatacommunities.org/id/geography/administration/nmd/E07000187,Mendip,17.204
http://opendatacommunities.org/id/geography/administration/lonb/E09000024,Merton,14.93
